"Date et heure","Date et heure(RAW)","Somme","Somme(RAW)","Processeur 1","Processeur 1(RAW)","Processeur 2","Processeur 2(RAW)","Processeur 3","Processeur 3(RAW)","Processeur 4","Processeur 4(RAW)","Processeur 5","Processeur 5(RAW)","Processeur 6","Processeur 6(RAW)","Processeur 7","Processeur 7(RAW)","Processeur 8","Processeur 8(RAW)","Temps mort","Temps mort(RAW)","Couverture","Couverture(RAW)"
"15/09/2024 08:00:00 - 09:00:00","45550.2916666667","0,18 %","0.1833","","0.2667","","0.1167","","0.4500","","0.3000","","0.2667","","0.3833","","0.3333","","0.4500","0 %","0.0000","100 %","0000010000"
"15/09/2024 09:00:00 - 10:00:00","45550.3333333333","0,33 %","0.3333","","0.5167","","0.3167","","0.8333","","0.4167","","0.2500","","0.4667","","0.5667","","0.5167","0 %","0.0000","100 %","0000010000"
"15/09/2024 10:00:00 - 11:00:00","45550.3750000000","2,17 %","2.1667","","0.6000","","0.7833","11 %","10.6167","1 %","1.1167","","0.4833","2 %","1.6000","2 %","2.0333","","0.7167","0 %","0.0000","100 %","0000010000"
"15/09/2024 11:00:00 - 12:00:00","45550.4166666667","0,15 %","0.1500","","0.2333","","0.2167","","0.5167","","0.4500","","0.2167","","0.2833","","0.3833","","0.3167","0 %","0.0000","100 %","0000010000"
"15/09/2024 12:00:00 - 13:00:00","45550.4583333333","0,27 %","0.2667","","0.3500","","0.3167","","0.6500","","0.5500","","0.2333","","0.3833","","0.5667","","0.4333","0 %","0.0000","100 %","0000010000"
"15/09/2024 13:00:00 - 14:00:00","45550.5000000000","0,42 %","0.4167","","0.2333","","0.3500","","0.6000","","0.5167","","0.3167","","0.3333","2 %","1.6667","","0.6167","0 %","0.0000","100 %","0000010000"
"15/09/2024 14:00:00 - 15:00:00","45550.5416666667","0,25 %","0.2500","","0.3167","","0.2000","","0.4667","","0.3500","","0.2500","","0.4833","","0.6000","","0.4167","0 %","0.0000","100 %","0000010000"
"15/09/2024 15:00:00 - 16:00:00","45550.5833333333","0,20 %","0.2000","","0.4000","","0.3500","","0.4333","","0.3500","","0.2667","","0.2833","","0.5500","","0.4167","0 %","0.0000","100 %","0000010000"
"15/09/2024 16:00:00 - 17:00:00","45550.6250000000","4,62 %","4.6167","2 %","1.5000","6 %","6.4833","17 %","17.0500","3 %","2.9333","1 %","1.3167","1 %","1.4000","3 %","2.9667","4 %","3.6333","0 %","0.0000","100 %","0000010000"
"15/09/2024 17:00:00 - 18:00:00","45550.6666666667","0,17 %","0.1667","","0.3667","","0.2667","","0.4833","","0.3667","","0.2167","","0.2000","","0.4833","","0.3000","0 %","0.0000","100 %","0000010000"
"15/09/2024 18:00:00 - 19:00:00","45550.7083333333","0,30 %","0.3000","","0.3167","","0.3167","","0.5167","","0.3667","","0.2167","","0.4000","","0.5167","","0.4500","0 %","0.0000","100 %","0000010000"
"15/09/2024 19:00:00 - 20:00:00","45550.7500000000","0,18 %","0.1833","","0.1500","","0.2833","","0.4167","","0.3000","","0.2000","","0.4667","","0.4833","","0.3167","0 %","0.0000","100 %","0000010000"
"15/09/2024 20:00:00 - 21:00:00","45550.7916666667","0,18 %","0.1833","","0.3000","","0.3333","","0.5667","","0.1833","","0.1167","","0.3667","","0.4833","","0.3167","0 %","0.0000","100 %","0000010000"
"15/09/2024 21:00:00 - 22:00:00","45550.8333333333","0,25 %","0.2500","","0.3333","","0.3333","","0.4667","","0.2667","","0.3000","","0.5500","","0.3500","","0.3167","0 %","0.0000","100 %","0000010000"
"15/09/2024 22:00:00 - 23:00:00","45550.8750000000","0,45 %","0.4500","","0.3333","","0.5833","","0.8667","","0.7167","","0.5000","","0.4167","","0.6333","","0.5167","0 %","0.0000","100 %","0000010000"
"15/09/2024 23:00:00 - 00:00:00","45550.9166666667","22 %","22.0667","20 %","20.0167","22 %","22.2667","27 %","27.3500","20 %","20.3667","19 %","18.8333","25 %","24.5667","23 %","22.5167","21 %","21.2667","0 %","0.0000","100 %","0000010000"
"16/09/2024 00:00:00 - 01:00:00","45550.9583333333","20 %","19.9831","11 %","10.6780","44 %","43.8305","26 %","26.0847","15 %","14.5085","19 %","19.0847","17 %","16.9661","19 %","19.2034","9 %","9.1186","18 %","18.3300","100 %","0000010000"
"16/09/2024 01:00:00 - 02:00:00","45551.0000000000","19 %","18.5000","2 %","2.2333","10 %","9.6833","58 %","58.4667","11 %","10.8667","15 %","14.8833","4 %","4.0667","44 %","43.9667","4 %","4.0833","0 %","0.0000","100 %","0000010000"
"16/09/2024 02:00:00 - 03:00:00","45551.0416666667","13 %","13.1525","3 %","2.8814","6 %","6.0508","45 %","44.5932","9 %","8.6949","9 %","8.6102","5 %","5.0847","22 %","21.8305","8 %","7.5932","0 %","0.0000","100 %","0000010000"
"16/09/2024 03:00:00 - 04:00:00","45551.0833333333","10 %","10.0667","4 %","4.1000","4 %","4.2167","26 %","26.0167","8 %","8.0000","8 %","7.9000","6 %","6.0167","16 %","16.0833","9 %","9.0667","0 %","0.0000","100 %","0000010000"
"16/09/2024 04:00:00 - 05:00:00","45551.1250000000","2,27 %","2.2712","1 %","1.4407","","0.7458","9 %","8.5424","1 %","1.1695","3 %","2.8475","","0.4068","3 %","2.8136","","0.8136","0 %","0.0000","100 %","0000010000"
"16/09/2024 05:00:00 - 06:00:00","45551.1666666667","39 %","38.9831","25 %","25.0169","44 %","44.4915","39 %","38.7119","44 %","44.1525","44 %","43.9153","30 %","30.1356","45 %","45.0847","40 %","39.6441","0 %","0.0000","100 %","0000010000"
"16/09/2024 06:00:00 - 07:00:00","45551.2083333333","25 %","25.4746","13 %","13.0000","34 %","33.5593","25 %","24.5424","35 %","34.5085","35 %","34.9153","14 %","13.7627","32 %","32.0169","18 %","18.0678","0 %","0.0000","100 %","0000010000"
"16/09/2024 07:00:00 - 08:00:00","45551.2500000000","35 %","34.8305","12 %","11.7797","49 %","48.6102","31 %","31.3898","50 %","49.8136","51 %","50.9322","14 %","14.2881","45 %","44.5085","27 %","26.9831","0 %","0.0000","100 %","0000010000"
"16/09/2024 08:00:00 - 09:00:00","45551.2916666667","19 %","18.9333","9 %","8.5833","25 %","25.2500","20 %","20.2667","28 %","28.2500","24 %","23.6833","9 %","9.3167","22 %","21.9000","14 %","14.4000","0 %","0.0000","100 %","0000010000"
"16/09/2024 09:00:00 - 10:00:00","45551.3333333333","11 %","10.6964","8 %","8.3929","12 %","12.1607","12 %","11.8750","11 %","11.0000","11 %","11.4286","9 %","8.8214","12 %","12.4286","10 %","9.9821","0 %","0.0000","100 %","0000010000"
"16/09/2024 10:00:00 - 11:00:00","45551.3750000000","4,61 %","4.6102","3 %","3.1525","4 %","4.3390","7 %","7.3729","4 %","4.2373","5 %","5.1525","3 %","2.8136","6 %","6.2034","5 %","4.6610","0 %","0.0000","100 %","0000010000"
"16/09/2024 11:00:00 - 12:00:00","45551.4166666667","22 %","21.8667","11 %","11.3500","15 %","14.8167","57 %","57.0167","18 %","18.1667","16 %","15.7667","25 %","25.0167","19 %","18.7167","14 %","14.3167","0 %","0.0000","100 %","0000010000"
"16/09/2024 12:00:00 - 13:00:00","45551.4583333333","5,48 %","5.4828","2 %","2.5000","4 %","4.3966","10 %","9.7759","7 %","6.6897","6 %","5.6379","3 %","3.3448","6 %","6.2586","5 %","4.9483","0 %","0.0000","100 %","0000010000"
"16/09/2024 13:00:00 - 14:00:00","45551.5000000000","5,35 %","5.3500","3 %","2.8333","4 %","4.0167","13 %","12.5333","4 %","4.0667","5 %","4.9833","4 %","3.5333","6 %","6.1167","4 %","4.0833","0 %","0.0000","100 %","0000010000"
"16/09/2024 14:00:00 - 15:00:00","45551.5416666667","4,69 %","4.6949","3 %","2.8305","4 %","3.5254","9 %","9.2203","4 %","4.3559","4 %","3.9661","3 %","3.0678","7 %","6.9831","3 %","3.3220","0 %","0.0000","100 %","0000010000"
"16/09/2024 15:00:00 - 16:00:00","45551.5833333333","6,41 %","6.4068","4 %","4.3729","6 %","5.9153","8 %","8.0169","8 %","7.5593","8 %","7.5085","4 %","4.1356","8 %","7.5763","6 %","6.0000","0 %","0.0000","100 %","0000010000"
"16/09/2024 16:00:00 - 17:00:00","45551.6250000000","18 %","17.7167","14 %","13.8333","21 %","20.8000","19 %","19.3000","19 %","18.6833","19 %","18.6667","15 %","14.7333","19 %","19.4833","16 %","15.7000","0 %","0.0000","100 %","0000010000"
"16/09/2024 17:00:00 - 18:00:00","45551.6666666667","12 %","11.5932","7 %","7.4915","16 %","15.5085","14 %","13.9153","12 %","12.2542","13 %","13.2712","9 %","8.5932","12 %","11.9661","10 %","9.5932","0 %","0.0000","100 %","0000010000"
"16/09/2024 18:00:00 - 19:00:00","45551.7083333333","23 %","23.4667","6 %","5.5333","37 %","36.7667","26 %","26.2667","27 %","27.0000","35 %","35.3167","19 %","18.7667","26 %","26.2667","12 %","12.0167","0 %","0.0000","100 %","0000010000"
"16/09/2024 19:00:00 - 20:00:00","45551.7500000000","1,44 %","1.4407","1 %","1.1017","","0.9661","2 %","1.8983","1 %","1.2542","1 %","1.0847","1 %","1.2203","2 %","2.1525","2 %","1.5932","0 %","0.0000","100 %","0000010000"
"16/09/2024 20:00:00 - 21:00:00","45551.7916666667","0,85 %","0.8475","","0.9492","","0.3559","2 %","2.0169","","0.3220","","0.3051","1 %","1.0339","1 %","1.3898","","0.9492","0 %","0.0000","100 %","0000010000"
"16/09/2024 21:00:00 - 22:00:00","45551.8333333333","0,65 %","0.6500","","0.8833","","0.1667","1 %","1.1833","","0.3333","","0.2167","","0.8500","1 %","1.0333","","0.9167","0 %","0.0000","100 %","0000010000"
"16/09/2024 22:00:00 - 23:00:00","45551.8750000000","1,36 %","1.3559","1 %","1.1356","","0.4407","3 %","2.5254","","0.8644","","0.7119","1 %","1.2203","2 %","2.2034","2 %","1.5424","0 %","0.0000","100 %","0000010000"
"16/09/2024 23:00:00 - 00:00:00","45551.9166666667","24 %","23.5667","22 %","21.9000","22 %","21.9833","29 %","29.4167","21 %","21.4000","25 %","24.6333","23 %","22.7333","25 %","24.8333","22 %","22.2500","0 %","0.0000","100 %","0000010000"
"17/09/2024 00:00:00 - 01:00:00","45551.9583333333","23 %","22.6667","24 %","24.0000","29 %","28.6667","27 %","26.7833","22 %","22.1667","23 %","23.1167","18 %","18.0833","24 %","24.2500","14 %","14.4333","0 %","0.0000","100 %","0000010000"
"17/09/2024 01:00:00 - 02:00:00","45552.0000000000","24 %","23.7167","8 %","7.9667","20 %","20.4167","45 %","45.0667","17 %","16.7167","21 %","20.6167","9 %","8.9167","61 %","60.5833","10 %","9.8667","0 %","0.0000","100 %","0000010000"
"17/09/2024 02:00:00 - 03:00:00","45552.0416666667","17 %","17.4167","9 %","9.2333","15 %","14.6667","53 %","52.7833","13 %","12.5833","10 %","9.6000","8 %","8.2000","16 %","15.8333","16 %","16.4000","0 %","0.0000","100 %","0000010000"
"17/09/2024 03:00:00 - 04:00:00","45552.0833333333","3,67 %","3.6667","1 %","1.4833","2 %","2.3000","10 %","9.8667","2 %","2.4167","2 %","2.2000","2 %","1.9500","6 %","5.7833","3 %","2.5167","0 %","0.0000","100 %","0000010000"
"17/09/2024 04:00:00 - 05:00:00","45552.1250000000","2,55 %","2.5500","1 %","1.2333","2 %","1.9333","9 %","9.0000","1 %","1.1833","1 %","1.0500","1 %","1.2167","3 %","3.1667","2 %","1.5833","0 %","0.0000","100 %","0000010000"
"17/09/2024 05:00:00 - 06:00:00","45552.1666666667","32 %","31.6000","24 %","24.2333","33 %","33.2500","33 %","32.5167","34 %","33.6333","32 %","32.0667","22 %","21.6167","41 %","41.1667","34 %","34.3167","0 %","0.0000","100 %","0000010000"
"17/09/2024 06:00:00 - 07:00:00","45552.2083333333","28 %","28.1167","17 %","16.6167","34 %","33.6667","31 %","31.4667","33 %","33.2000","33 %","33.0333","17 %","17.4167","35 %","34.5667","25 %","24.6333","0 %","0.0000","100 %","0000010000"
"17/09/2024 07:00:00 - 08:00:00","45552.2500000000","31 %","30.8167","21 %","20.7000","35 %","34.6333","34 %","33.6333","36 %","35.7000","36 %","35.9167","23 %","23.2000","34 %","34.1000","29 %","28.5167","0 %","0.0000","100 %","0000010000"
"17/09/2024 08:00:00 - 09:00:00","45552.2916666667","21 %","20.7333","13 %","13.0500","26 %","25.5667","25 %","24.6500","24 %","24.4500","23 %","23.4000","14 %","14.1667","23 %","22.7000","17 %","17.4000","0 %","0.0000","100 %","0000010000"
"17/09/2024 09:00:00 - 10:00:00","45552.3333333333","8,97 %","8.9667","4 %","4.4333","9 %","9.2833","12 %","11.7667","11 %","10.8833","11 %","10.9667","5 %","4.8333","11 %","10.7000","8 %","8.0167","0 %","0.0000","100 %","0000010000"
"17/09/2024 10:00:00 - 11:00:00","45552.3750000000","27 %","26.6833","12 %","12.1667","35 %","34.8167","35 %","34.8333","21 %","20.8833","36 %","36.4833","31 %","30.5667","27 %","26.8333","17 %","16.7000","3 %","2.5700","100 %","0000010000"
"17/09/2024 11:00:00 - 12:00:00","45552.4166666667","8,22 %","8.2241","4 %","3.9310","9 %","9.1552","13 %","13.3103","6 %","5.9828","9 %","9.2931","7 %","7.4138","11 %","10.7414","6 %","5.5690","2 %","1.8600","100 %","0000010000"
"17/09/2024 12:00:00 - 13:00:00","45552.4583333333","41 %","41.3023","26 %","25.9535","50 %","49.7209","49 %","49.2093","35 %","35.0698","53 %","52.9767","44 %","44.2093","43 %","42.8837","30 %","30.4884","7 %","7.1700","100 %","0000010000"
"17/09/2024 13:00:00 - 14:00:00","45552.5000000000","24 %","24.3898","14 %","14.2034","25 %","24.8136","31 %","30.6780","19 %","18.9661","25 %","25.1525","26 %","25.7627","37 %","36.8644","19 %","19.4576","2 %","1.6700","100 %","0000010000"
"17/09/2024 14:00:00 - 15:00:00","45552.5416666667","8,61 %","8.6102","1 %","1.2712","6 %","6.0678","34 %","33.9492","7 %","6.7627","6 %","6.3390","7 %","7.1695","5 %","5.4576","2 %","2.4237","0 %","0.0000","100 %","0000010000"
"17/09/2024 15:00:00 - 16:00:00","45552.5833333333","3,58 %","3.5833","2 %","2.3167","3 %","3.3500","7 %","6.8167","4 %","3.6500","3 %","3.2000","2 %","2.0667","5 %","5.2167","3 %","2.7167","0 %","0.0000","100 %","0000010000"
"17/09/2024 16:00:00 - 17:00:00","45552.6250000000","19 %","19.0339","10 %","10.4407","26 %","25.5424","21 %","21.4237","18 %","18.4746","24 %","23.6610","15 %","15.0169","22 %","21.8475","16 %","16.0847","2 %","1.6600","100 %","0000010000"
"17/09/2024 17:00:00 - 18:00:00","45552.6666666667","12 %","12.0333","6 %","5.9500","24 %","24.4500","11 %","11.1000","9 %","8.6833","9 %","9.1667","12 %","11.9833","12 %","11.5333","14 %","13.9167","10 %","10.0000","100 %","0000010000"
"17/09/2024 18:00:00 - 19:00:00","45552.7083333333","0,41 %","0.4068","","0.1695","","0.2373","1 %","1.0847","","0.6610","","0.6102","","0.5424","","0.7458","","0.5593","0 %","0.0000","100 %","0000010000"
"17/09/2024 19:00:00 - 20:00:00","45552.7500000000","0,17 %","0.1695","","0.1356","","0.3898","","0.9831","","0.2542","","0.4576","","0.4237","","0.3051","","0.1356","0 %","0.0000","100 %","0000010000"
"17/09/2024 20:00:00 - 21:00:00","45552.7916666667","0,53 %","0.5333","","0.3667","","0.3333","2 %","2.0833","","0.3500","","0.6333","","0.5833","","0.7667","","0.1833","0 %","0.0000","100 %","0000010000"
"17/09/2024 21:00:00 - 22:00:00","45552.8333333333","0,15 %","0.1525","","0.1695","","0.2712","","0.9322","","0.2034","","0.5254","","0.5085","","0.2203","","0.1186","0 %","0.0000","100 %","0000010000"
"17/09/2024 22:00:00 - 23:00:00","45552.8750000000","0,85 %","0.8500","","0.5333","1 %","1.0500","3 %","2.5667","1 %","1.2000","1 %","1.0000","","0.6000","","0.7167","","0.4333","0 %","0.0000","100 %","0000010000"
"17/09/2024 23:00:00 - 00:00:00","45552.9166666667","22 %","22.0345","20 %","20.3966","25 %","24.5345","27 %","26.7586","22 %","21.9483","21 %","21.1724","22 %","22.1897","20 %","20.1207","20 %","20.5000","0 %","0.0000","100 %","0000010000"
"18/09/2024 00:00:00 - 01:00:00","45552.9583333333","22 %","21.6393","21 %","20.6393","30 %","29.9180","28 %","28.2459","22 %","22.3607","19 %","19.2295","18 %","17.9180","21 %","21.1475","14 %","13.5902","0 %","0.0000","100 %","0000010000"
"18/09/2024 01:00:00 - 02:00:00","45553.0000000000","23 %","22.9000","4 %","4.2667","18 %","17.6333","60 %","60.1833","29 %","28.8000","12 %","12.2000","7 %","6.7667","32 %","32.2333","21 %","21.1167","0 %","0.0000","100 %","0000010000"
"18/09/2024 02:00:00 - 03:00:00","45553.0416666667","21 %","20.8333","11 %","11.0500","14 %","14.3333","42 %","42.2500","18 %","18.3333","16 %","16.0167","14 %","13.9833","34 %","34.1500","17 %","16.6333","0 %","0.0000","100 %","0000010000"
"18/09/2024 03:00:00 - 04:00:00","45553.0833333333","3,67 %","3.6667","1 %","1.0500","3 %","3.3667","10 %","9.6333","2 %","1.9833","4 %","3.9000","3 %","3.3000","5 %","5.2667","2 %","2.2833","0 %","0.0000","100 %","0000010000"
"18/09/2024 04:00:00 - 05:00:00","45553.1250000000","35 %","35.3000","7 %","6.9833","52 %","52.1333","23 %","22.5333","56 %","55.9333","54 %","54.3167","9 %","8.8167","47 %","46.6167","36 %","35.7333","0 %","0.0000","100 %","0000010000"
"18/09/2024 05:00:00 - 06:00:00","45553.1666666667","35 %","34.8667","13 %","13.1667","44 %","43.6167","35 %","34.6000","51 %","51.1167","51 %","51.3500","15 %","15.4833","31 %","30.8333","39 %","38.9000","0 %","0.0000","100 %","0000010000"
"18/09/2024 06:00:00 - 07:00:00","45553.2083333333","32 %","32.3167","6 %","6.4000","52 %","52.1000","27 %","26.7667","51 %","50.8500","50 %","49.7833","9 %","8.5667","44 %","44.4833","20 %","19.6500","0 %","0.0000","100 %","0000010000"
"18/09/2024 07:00:00 - 08:00:00","45553.2500000000","18 %","18.4500","6 %","5.7000","25 %","25.4000","25 %","25.2833","23 %","23.2167","24 %","24.4500","8 %","8.0167","22 %","22.3167","13 %","13.2500","0 %","0.0000","100 %","0000010000"
"18/09/2024 08:00:00 - 09:00:00","45553.2916666667","3,62 %","3.6167","2 %","1.5000","5 %","4.9667","5 %","4.9167","5 %","4.9333","4 %","4.1167","1 %","1.1167","5 %","4.9167","3 %","3.3167","0 %","0.0000","100 %","0000010000"
"18/09/2024 09:00:00 - 10:00:00","45553.3333333333","2,97 %","2.9667","1 %","1.1833","3 %","3.4667","5 %","5.0333","4 %","3.8500","2 %","2.3000","1 %","1.3333","4 %","3.7000","3 %","3.3833","0 %","0.0000","100 %","0000010000"
"18/09/2024 10:00:00 - 11:00:00","45553.3750000000","3,50 %","3.5000","1 %","1.1167","4 %","3.5167","7 %","6.9667","4 %","4.0333","4 %","3.9667","1 %","1.0500","6 %","5.7833","2 %","2.4333","0 %","0.0000","100 %","0000010000"
"18/09/2024 11:00:00 - 12:00:00","45553.4166666667","1,52 %","1.5167","","0.8500","2 %","1.7667","2 %","2.4167","2 %","1.8500","1 %","1.4500","","0.9667","2 %","2.0667","2 %","1.6000","0 %","0.0000","100 %","0000010000"
"18/09/2024 12:00:00 - 13:00:00","45553.4583333333","1,30 %","1.3000","1 %","1.2333","2 %","1.7167","3 %","3.1000","1 %","1.2500","","0.6333","1 %","1.3833","1 %","1.3000","","0.6833","0 %","0.0000","100 %","0000010000"
"18/09/2024 13:00:00 - 14:00:00","45553.5000000000","2,87 %","2.8667","2 %","1.6500","3 %","2.9667","9 %","8.5167","3 %","2.6333","2 %","2.2000","2 %","2.4000","2 %","2.2167","1 %","1.0667","0 %","0.0000","100 %","0000010000"
"18/09/2024 14:00:00 - 15:00:00","45553.5416666667","2,22 %","2.2167","","0.5833","2 %","1.9000","6 %","5.8833","2 %","2.2833","2 %","1.9500","","0.7333","4 %","3.9333","2 %","1.6333","0 %","0.0000","100 %","0000010000"
"18/09/2024 15:00:00 - 16:00:00","45553.5833333333","5,22 %","5.2167","3 %","3.2833","5 %","5.3500","7 %","7.3000","6 %","6.4000","6 %","5.6333","3 %","3.3667","7 %","6.7333","5 %","4.6333","0 %","0.0000","100 %","0000010000"
"18/09/2024 16:00:00 - 17:00:00","45553.6250000000","10 %","10.2333","9 %","9.2833","10 %","9.7833","13 %","12.9500","10 %","10.3000","10 %","9.8167","9 %","9.3500","12 %","11.6667","10 %","9.8667","0 %","0.0000","100 %","0000010000"
"18/09/2024 17:00:00 - 18:00:00","45553.6666666667","1 %","1.0000","","0.2500","","0.5833","4 %","3.5667","","0.7833","","0.5000","","0.6667","2 %","1.9000","","0.7500","0 %","0.0000","100 %","0000010000"
"18/09/2024 18:00:00 - 19:00:00","45553.7083333333","3,02 %","3.0167","","0.8500","5 %","4.7167","3 %","2.5667","5 %","4.9333","5 %","4.5833","","0.9000","6 %","5.8667","1 %","1.0833","0 %","0.0000","100 %","0000010000"
"18/09/2024 19:00:00 - 20:00:00","45553.7500000000","0,13 %","0.1333","","0.5833","","0.0667","","0.7333","","0.3000","","0.2167","","0.3833","","0.1667","","0.1500","0 %","0.0000","100 %","0000010000"
"18/09/2024 20:00:00 - 21:00:00","45553.7916666667","0,43 %","0.4333","","0.8000","","0.4000","2 %","1.7167","","0.4667","","0.5667","","0.2667","","0.8833","","0.2667","0 %","0.0000","100 %","0000010000"
"18/09/2024 21:00:00 - 22:00:00","45553.8333333333","0,13 %","0.1333","","0.7167","","0.1333","1 %","1.0333","","0.1333","","0.1833","","0.5333","","0.1167","","0.2833","0 %","0.0000","100 %","0000010000"
"18/09/2024 22:00:00 - 23:00:00","45553.8750000000","0,80 %","0.8000","","0.8333","1 %","1.1333","2 %","2.1333","","0.5000","","0.5333","","0.6833","2 %","1.9833","","0.4667","0 %","0.0000","100 %","0000010000"
"18/09/2024 23:00:00 - 00:00:00","45553.9166666667","22 %","22.1017","22 %","21.5763","27 %","27.1017","27 %","26.8136","21 %","20.8814","19 %","18.5424","20 %","20.2881","23 %","23.4407","19 %","18.6780","0 %","0.0000","100 %","0000010000"
"19/09/2024 00:00:00 - 01:00:00","45553.9583333333","19 %","19.0000","20 %","20.2667","30 %","29.9333","23 %","23.4000","16 %","15.7000","18 %","17.9167","12 %","12.3000","21 %","21.2333","11 %","11.1333","0 %","0.0000","100 %","0000010000"
"19/09/2024 01:00:00 - 02:00:00","45554.0000000000","25 %","24.5833","4 %","3.6000","17 %","17.0500","59 %","59.0833","30 %","30.2333","27 %","26.6333","8 %","8.3333","42 %","42.3000","9 %","9.3833","0 %","0.0000","100 %","0000010000"
"19/09/2024 02:00:00 - 03:00:00","45554.0416666667","20 %","20.3833","12 %","11.6167","14 %","13.9667","59 %","59.3167","19 %","18.6667","15 %","15.0333","12 %","12.1833","21 %","20.9500","11 %","10.9167","0 %","0.0000","100 %","0000010000"
"19/09/2024 03:00:00 - 04:00:00","45554.0833333333","5,07 %","5.0667","2 %","2.0667","5 %","5.3833","11 %","10.6667","5 %","4.6667","5 %","5.3000","4 %","4.4167","6 %","5.7833","3 %","3.4667","0 %","0.0000","100 %","0000010000"
"19/09/2024 04:00:00 - 05:00:00","45554.1250000000","2,22 %","2.2167","1 %","1.4833","3 %","3.3000","8 %","7.6500","1 %","1.0500","","0.7667","","0.7833","3 %","2.8667","","0.4667","0 %","0.0000","100 %","0000010000"
"19/09/2024 05:00:00 - 06:00:00","45554.1666666667","39 %","38.5167","24 %","24.3500","42 %","42.4167","36 %","36.2000","43 %","43.1333","43 %","43.3167","31 %","31.1833","45 %","45.3167","43 %","42.5500","0 %","0.0000","100 %","0000010000"
"19/09/2024 06:00:00 - 07:00:00","45554.2083333333","34 %","33.7167","15 %","14.8500","44 %","44.3167","30 %","30.1167","47 %","46.8333","47 %","46.5333","16 %","16.5000","43 %","42.6000","28 %","28.0000","0 %","0.0000","100 %","0000010000"
"19/09/2024 07:00:00 - 08:00:00","45554.2500000000","34 %","34.4000","14 %","14.4167","47 %","46.6500","31 %","31.2833","47 %","46.5167","47 %","46.9167","17 %","16.7333","44 %","43.8500","29 %","29.4833","0 %","0.0000","100 %","0000010000"
"19/09/2024 08:00:00 - 09:00:00","45554.2916666667","10 %","10.0000","3 %","2.6833","15 %","14.6333","13 %","12.7333","12 %","11.9000","12 %","12.3500","4 %","3.6667","13 %","13.4333","9 %","8.5167","0 %","0.0000","100 %","0000010000"
"19/09/2024 09:00:00 - 10:00:00","45554.3333333333","1,52 %","1.5167","","0.6333","","0.9167","4 %","4.1833","2 %","1.6333","1 %","1.2500","","0.7667","3 %","2.7833","","0.5833","0 %","0.0000","100 %","0000010000"
"19/09/2024 10:00:00 - 11:00:00","45554.3750000000","2,15 %","2.1500","","0.5667","2 %","1.7333","5 %","4.8833","3 %","2.9000","2 %","1.9833","","0.9833","3 %","3.4667","1 %","1.4167","0 %","0.0000","100 %","0000010000"
"19/09/2024 11:00:00 - 12:00:00","45554.4166666667","4,50 %","4.5000","2 %","1.9667","4 %","4.4833","9 %","9.2167","5 %","4.5500","4 %","4.0000","2 %","2.1667","7 %","6.8500","3 %","2.6833","0 %","0.0000","100 %","0000010000"
"19/09/2024 12:00:00 - 13:00:00","45554.4583333333","7,60 %","7.6000","6 %","6.4833","7 %","7.2000","10 %","9.6333","8 %","8.0000","8 %","7.5333","7 %","6.7333","9 %","9.0667","7 %","6.9833","0 %","0.0000","100 %","0000010000"
"19/09/2024 13:00:00 - 14:00:00","45554.5000000000","4,03 %","4.0333","1 %","1.4000","4 %","4.1667","5 %","5.1000","3 %","3.2500","3 %","3.2500","8 %","8.5000","6 %","5.5667","2 %","2.1333","0 %","0.0000","100 %","0000010000"
"19/09/2024 14:00:00 - 15:00:00","45554.5416666667","4,85 %","4.8500","2 %","1.9500","5 %","4.9167","8 %","7.5500","6 %","6.2333","5 %","5.4333","4 %","3.7667","7 %","6.6833","3 %","3.0500","0 %","0.0000","100 %","0000010000"
"19/09/2024 15:00:00 - 16:00:00","45554.5833333333","1,45 %","1.4500","","0.4833","","0.8333","4 %","4.0333","2 %","1.5333","2 %","1.6333","1 %","1.0333","2 %","2.3167","","0.7333","0 %","0.0000","100 %","0000010000"
"19/09/2024 16:00:00 - 17:00:00","45554.6250000000","3,78 %","3.7833","","0.7333","4 %","3.8500","8 %","7.9000","4 %","4.2333","4 %","4.2333","2 %","1.5333","6 %","5.8000","2 %","2.3167","0 %","0.0000","100 %","0000010000"
"19/09/2024 17:00:00 - 18:00:00","45554.6666666667","0,55 %","0.5500","","0.1833","","0.4000","2 %","2.0500","","0.7500","","0.4167","","0.6833","","0.9333","","0.3667","0 %","0.0000","100 %","0000010000"
"19/09/2024 18:00:00 - 19:00:00","45554.7083333333","1,70 %","1.7000","","0.6833","2 %","2.2833","3 %","2.7333","3 %","2.7167","3 %","2.5833","1 %","1.2500","2 %","1.5167","1 %","1.0833","0 %","0.0000","100 %","0000010000"
"19/09/2024 19:00:00 - 20:00:00","45554.7500000000","0,23 %","0.2333","","0.4167","","0.2333","1 %","1.1000","","0.5000","","0.1833","","0.5333","","0.1167","","0.1167","0 %","0.0000","100 %","0000010000"
"19/09/2024 20:00:00 - 21:00:00","45554.7916666667","0,47 %","0.4667","","0.4000","","0.1333","2 %","1.8167","","0.5500","","0.4667","","0.5500","","0.4833","","0.1500","0 %","0.0000","100 %","0000010000"
"19/09/2024 21:00:00 - 22:00:00","45554.8333333333","0,18 %","0.1833","","0.3167","","0.1000","1 %","1.0000","","0.4167","","0.4167","","0.5500","","0.0833","","0.1167","0 %","0.0000","100 %","0000010000"
