"Date et heure","Date et heure(RAW)","Somme","Somme(RAW)","Octets libres C:","Octets libres C:(RAW)","Espace disponible C:","Espace disponible C:(RAW)","Octets libres D:","Octets libres D:(RAW)","Espace disponible D:","Espace disponible D:(RAW)","Temps mort","Temps mort(RAW)","Couverture","Couverture(RAW)"
"18/01/2024 14:00:00 - 15:00:00","45309.5833333333","","","","","","","","","","","","","0 %","0000000000"
"18/01/2024 15:00:00 - 16:00:00","45309.6250000000","","","","","","","","","","","","","0 %","0000000000"
"18/01/2024 16:00:00 - 17:00:00","45309.6666666667","","","","","","","","","","","","","0 %","0000000000"
"18/01/2024 17:00:00 - 18:00:00","45309.7083333333","","","","","","","","","","","","","0 %","0000000000"
"18/01/2024 18:00:00 - 19:00:00","45309.7500000000","","","","","","","","","","","","","0 %","0000000000"
"18/01/2024 19:00:00 - 20:00:00","45309.7916666667","","","","","","","","","","","","","0 %","0000000000"
"18/01/2024 20:00:00 - 21:00:00","45309.8333333333","","","","","","","","","","","","","0 %","0000000000"
"18/01/2024 21:00:00 - 22:00:00","45309.8750000000","","","","","","","","","","","","","0 %","0000000000"
"18/01/2024 22:00:00 - 23:00:00","45309.9166666667","","","","","","","","","","","","","0 %","0000000000"
"18/01/2024 23:00:00 - 00:00:00","45309.9583333333","","","","","","","","","","","","","0 %","0000000000"
"19/01/2024 00:00:00 - 01:00:00","45310.0000000000","","","","","","","","","","","","","0 %","0000000000"
"19/01/2024 01:00:00 - 02:00:00","45310.0416666667","","","","","","","","","","","","","0 %","0000000000"
"19/01/2024 02:00:00 - 03:00:00","45310.0833333333","","","","","","","","","","","","","0 %","0000000000"
"19/01/2024 03:00:00 - 04:00:00","45310.1250000000","","","","","","","","","","","","","0 %","0000000000"
"19/01/2024 04:00:00 - 05:00:00","45310.1666666667","","","","","","","","","","","","","0 %","0000000000"
"19/01/2024 05:00:00 - 06:00:00","45310.2083333333","","","","","","","","","","","","","0 %","0000000000"
"19/01/2024 06:00:00 - 07:00:00","45310.2500000000","","","","","","","","","","","","","0 %","0000000000"
"19/01/2024 07:00:00 - 08:00:00","45310.2916666667","","","","","","","","","","","","","0 %","0000000000"
"19/01/2024 08:00:00 - 09:00:00","45310.3333333333","","","","","","","","","","","","","0 %","0000000000"
"19/01/2024 09:00:00 - 10:00:00","45310.3750000000","","","","","","","","","","","","","0 %","0000000000"
"19/01/2024 10:00:00 - 11:00:00","45310.4166666667","","","","","","","","","","","","","0 %","0000000000"
"19/01/2024 11:00:00 - 12:00:00","45310.4583333333","","","","","","","","","","","","","0 %","0000000000"
"19/01/2024 12:00:00 - 13:00:00","45310.5000000000","","","","","","","","","","","","","0 %","0000000000"
"19/01/2024 13:00:00 - 14:00:00","45310.5416666667","","","","","","","","","","","","","0 %","0000000000"
"19/01/2024 14:00:00 - 15:00:00","45310.5833333333","","","","","","","","","","","","","0 %","0000000000"
"19/01/2024 15:00:00 - 16:00:00","45310.6250000000","","","","","","","","","","","","","0 %","0000000000"
"19/01/2024 16:00:00 - 17:00:00","45310.6666666667","","","","","","","","","","","","","0 %","0000000000"
"19/01/2024 17:00:00 - 18:00:00","45310.7083333333","","","","","","","","","","","","","0 %","0000000000"
"19/01/2024 18:00:00 - 19:00:00","45310.7500000000","","","","","","","","","","","","","0 %","0000000000"
"19/01/2024 19:00:00 - 20:00:00","45310.7916666667","","","","","","","","","","","","","0 %","0000000000"
"19/01/2024 20:00:00 - 21:00:00","45310.8333333333","","","","","","","","","","","","","0 %","0000000000"
"19/01/2024 21:00:00 - 22:00:00","45310.8750000000","","","","","","","","","","","","","0 %","0000000000"
"19/01/2024 22:00:00 - 23:00:00","45310.9166666667","","","","","","","","","","","","","0 %","0000000000"
"19/01/2024 23:00:00 - 00:00:00","45310.9583333333","","","","","","","","","","","","","0 %","0000000000"
"20/01/2024 00:00:00 - 01:00:00","45311.0000000000","","","","","","","","","","","","","0 %","0000000000"
"20/01/2024 01:00:00 - 02:00:00","45311.0416666667","","","","","","","","","","","","","0 %","0000000000"
"20/01/2024 02:00:00 - 03:00:00","45311.0833333333","","","","","","","","","","","","","0 %","0000000000"
"20/01/2024 03:00:00 - 04:00:00","45311.1250000000","","","","","","","","","","","","","0 %","0000000000"
"20/01/2024 04:00:00 - 05:00:00","45311.1666666667","","","","","","","","","","","","","0 %","0000000000"
"20/01/2024 05:00:00 - 06:00:00","45311.2083333333","","","","","","","","","","","","","0 %","0000000000"
"20/01/2024 06:00:00 - 07:00:00","45311.2500000000","","","","","","","","","","","","","0 %","0000000000"
"20/01/2024 07:00:00 - 08:00:00","45311.2916666667","","","","","","","","","","","","","0 %","0000000000"
"20/01/2024 08:00:00 - 09:00:00","45311.3333333333","","","","","","","","","","","","","0 %","0000000000"
"20/01/2024 09:00:00 - 10:00:00","45311.3750000000","","","","","","","","","","","","","0 %","0000000000"
"20/01/2024 10:00:00 - 11:00:00","45311.4166666667","","","","","","","","","","","","","0 %","0000000000"
"20/01/2024 11:00:00 - 12:00:00","45311.4583333333","","","","","","","","","","","","","0 %","0000000000"
"20/01/2024 12:00:00 - 13:00:00","45311.5000000000","","","","","","","","","","","","","0 %","0000000000"
"20/01/2024 13:00:00 - 14:00:00","45311.5416666667","","","","","","","","","","","","","0 %","0000000000"
"20/01/2024 14:00:00 - 15:00:00","45311.5833333333","","","","","","","","","","","","","0 %","0000000000"
"20/01/2024 15:00:00 - 16:00:00","45311.6250000000","","","","","","","","","","","","","0 %","0000000000"
"20/01/2024 16:00:00 - 17:00:00","45311.6666666667","","","","","","","","","","","","","0 %","0000000000"
"20/01/2024 17:00:00 - 18:00:00","45311.7083333333","","","","","","","","","","","","","0 %","0000000000"
"20/01/2024 18:00:00 - 19:00:00","45311.7500000000","","","","","","","","","","","","","0 %","0000000000"
"20/01/2024 19:00:00 - 20:00:00","45311.7916666667","","","","","","","","","","","","","0 %","0000000000"
"20/01/2024 20:00:00 - 21:00:00","45311.8333333333","","","","","","","","","","","","","0 %","0000000000"
"20/01/2024 21:00:00 - 22:00:00","45311.8750000000","","","","","","","","","","","","","0 %","0000000000"
"20/01/2024 22:00:00 - 23:00:00","45311.9166666667","","","","","","","","","","","","","0 %","0000000000"
"20/01/2024 23:00:00 - 00:00:00","45311.9583333333","","","","","","","","","","","","","0 %","0000000000"
"21/01/2024 00:00:00 - 01:00:00","45312.0000000000","","","","","","","","","","","","","0 %","0000000000"
"21/01/2024 01:00:00 - 02:00:00","45312.0416666667","","","","","","","","","","","","","0 %","0000000000"
"21/01/2024 02:00:00 - 03:00:00","45312.0833333333","","","","","","","","","","","","","0 %","0000000000"
"21/01/2024 03:00:00 - 04:00:00","45312.1250000000","","","","","","","","","","","","","0 %","0000000000"
"21/01/2024 04:00:00 - 05:00:00","45312.1666666667","","","","","","","","","","","","","0 %","0000000000"
"21/01/2024 05:00:00 - 06:00:00","45312.2083333333","","","","","","","","","","","","","0 %","0000000000"
"21/01/2024 06:00:00 - 07:00:00","45312.2500000000","","","","","","","","","","","","","0 %","0000000000"
"21/01/2024 07:00:00 - 08:00:00","45312.2916666667","","","","","","","","","","","","","0 %","0000000000"
"21/01/2024 08:00:00 - 09:00:00","45312.3333333333","","","","","","","","","","","","","0 %","0000000000"
"21/01/2024 09:00:00 - 10:00:00","45312.3750000000","","","","","","","","","","","","","0 %","0000000000"
"21/01/2024 10:00:00 - 11:00:00","45312.4166666667","","","","","","","","","","","","","0 %","0000000000"
"21/01/2024 11:00:00 - 12:00:00","45312.4583333333","","","","","","","","","","","","","0 %","0000000000"
"21/01/2024 12:00:00 - 13:00:00","45312.5000000000","","","","","","","","","","","","","0 %","0000000000"
"21/01/2024 13:00:00 - 14:00:00","45312.5416666667","","","","","","","","","","","","","0 %","0000000000"
"21/01/2024 14:00:00 - 15:00:00","45312.5833333333","","","","","","","","","","","","","0 %","0000000000"
"21/01/2024 15:00:00 - 16:00:00","45312.6250000000","","","","","","","","","","","","","0 %","0000000000"
"21/01/2024 16:00:00 - 17:00:00","45312.6666666667","","","","","","","","","","","","","0 %","0000000000"
"21/01/2024 17:00:00 - 18:00:00","45312.7083333333","","","","","","","","","","","","","0 %","0000000000"
"21/01/2024 18:00:00 - 19:00:00","45312.7500000000","","","","","","","","","","","","","0 %","0000000000"
"21/01/2024 19:00:00 - 20:00:00","45312.7916666667","","","","","","","","","","","","","0 %","0000000000"
"21/01/2024 20:00:00 - 21:00:00","45312.8333333333","","","","","","","","","","","","","0 %","0000000000"
"21/01/2024 21:00:00 - 22:00:00","45312.8750000000","","","","","","","","","","","","","0 %","0000000000"
"21/01/2024 22:00:00 - 23:00:00","45312.9166666667","","","","","","","","","","","","","0 %","0000000000"
"21/01/2024 23:00:00 - 00:00:00","45312.9583333333","","","","","","","","","","","","","0 %","0000000000"
"22/01/2024 00:00:00 - 01:00:00","45313.0000000000","","","","","","","","","","","","","0 %","0000000000"
"22/01/2024 01:00:00 - 02:00:00","45313.0416666667","","","","","","","","","","","","","0 %","0000000000"
"22/01/2024 02:00:00 - 03:00:00","45313.0833333333","","","","","","","","","","","","","0 %","0000000000"
"22/01/2024 03:00:00 - 04:00:00","45313.1250000000","","","","","","","","","","","","","0 %","0000000000"
"22/01/2024 04:00:00 - 05:00:00","45313.1666666667","","","","","","","","","","","","","0 %","0000000000"
"22/01/2024 05:00:00 - 06:00:00","45313.2083333333","","","","","","","","","","","","","0 %","0000000000"
