"Date et heure","Date et heure(RAW)","Nombre de requêtes de verrouillage/s","Nombre de requêtes de verrouillage/s(RAW)","Temps d'attente moyen","Temps d'attente moyen(RAW)","Nombre de blocages/s","Nombre de blocages/s(RAW)","Temps mort","Temps mort(RAW)","Couverture","Couverture(RAW)"
"14/08/2024 06:00:00 - 07:00:00","45518.2083333333","1 303 #","1302.9944","6,50 ms","6.5000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 07:00:00 - 08:00:00","45518.2500000000","363 #","363.1908","9,75 ms","9.7500","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 08:00:00 - 09:00:00","45518.2916666667","840 #","839.8032","10 ms","10.3333","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 09:00:00 - 10:00:00","45518.3333333333","517 #","516.9736","7,42 ms","7.4167","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 10:00:00 - 11:00:00","45518.3750000000","1 093 #","1093.3620","6,50 ms","6.5000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 11:00:00 - 12:00:00","45518.4166666667","863 #","863.3233","11 ms","11.0833","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 12:00:00 - 13:00:00","45518.4583333333","1 879 #","1878.7322","9,17 ms","9.1667","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 13:00:00 - 14:00:00","45518.5000000000","2 781 #","2780.6283","8,33 ms","8.3333","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 14:00:00 - 15:00:00","45518.5416666667","1 321 #","1321.4148","1,33 ms","1.3333","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 15:00:00 - 16:00:00","45518.5833333333","1 009 #","1009.2566","1,33 ms","1.3333","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 16:00:00 - 17:00:00","45518.6250000000","1 345 #","1345.2424","1,33 ms","1.3333","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 17:00:00 - 18:00:00","45518.6666666667","612 #","612.0074","12 ms","11.7500","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 18:00:00 - 19:00:00","45518.7083333333","59 #","59.0613","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 19:00:00 - 20:00:00","45518.7500000000","53 #","53.3426","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 20:00:00 - 21:00:00","45518.7916666667","65 #","64.6480","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 21:00:00 - 22:00:00","45518.8333333333","86 #","86.2027","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 22:00:00 - 23:00:00","45518.8750000000","118 #","118.3342","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 23:00:00 - 00:00:00","45518.9166666667","1 591 #","1590.7369","5,17 ms","5.1667","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 00:00:00 - 01:00:00","45518.9583333333","4 775 #","4774.6006","141 349 ms","141348.7500","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 01:00:00 - 02:00:00","45519.0000000000","3 880 #","3880.2419","3,83 ms","3.8333","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 02:00:00 - 03:00:00","45519.0416666667","516 #","515.9401","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 03:00:00 - 04:00:00","45519.0833333333","56 #","55.5875","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 04:00:00 - 05:00:00","45519.1250000000","233 #","232.9822","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 05:00:00 - 06:00:00","45519.1666666667","673 #","672.9131","2,58 ms","2.5833","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 06:00:00 - 07:00:00","45519.2083333333","1 136 #","1136.0797","3,92 ms","3.9167","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 07:00:00 - 08:00:00","45519.2500000000","714 #","713.7737","19 ms","18.8333","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 08:00:00 - 09:00:00","45519.2916666667","1 242 #","1241.8399","25 ms","25.4167","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 09:00:00 - 10:00:00","45519.3333333333","618 #","617.6273","32 ms","31.6667","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 10:00:00 - 11:00:00","45519.3750000000","697 #","696.8335","14 ms","13.5833","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 11:00:00 - 12:00:00","45519.4166666667","3 454 #","3454.2871","4,42 ms","4.4167","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 12:00:00 - 13:00:00","45519.4583333333","1 970 #","1969.9286","1,25 ms","1.2500","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 13:00:00 - 14:00:00","45519.5000000000","532 #","532.4895","319 ms","319.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 14:00:00 - 15:00:00","45519.5416666667","256 #","255.7943","7,17 ms","7.1667","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 15:00:00 - 16:00:00","45519.5833333333","365 #","364.9033","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 16:00:00 - 17:00:00","45519.6250000000","321 #","320.7269","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 17:00:00 - 18:00:00","45519.6666666667","145 #","144.9815","2,67 ms","2.6667","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 18:00:00 - 19:00:00","45519.7083333333","54 #","53.7548","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 19:00:00 - 20:00:00","45519.7500000000","54 #","53.7192","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 20:00:00 - 21:00:00","45519.7916666667","65 #","65.2095","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 21:00:00 - 22:00:00","45519.8333333333","85 #","85.2347","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 22:00:00 - 23:00:00","45519.8750000000","120 #","120.0570","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 23:00:00 - 00:00:00","45519.9166666667","1 433 #","1432.9789","5,25 ms","5.2500","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 00:00:00 - 01:00:00","45519.9583333333","4 530 #","4530.0545","148 061 ms","148060.5833","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 01:00:00 - 02:00:00","45520.0000000000","2 142 #","2141.6918","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 02:00:00 - 03:00:00","45520.0416666667","552 #","552.1321","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 03:00:00 - 04:00:00","45520.0833333333","58 #","57.5743","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 04:00:00 - 05:00:00","45520.1250000000","495 #","494.6576","1,33 ms","1.3333","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 05:00:00 - 06:00:00","45520.1666666667","1 213 #","1212.7110","473 ms","473.4167","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 06:00:00 - 07:00:00","45520.2083333333","976 #","975.7658","21 ms","20.7500","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 07:00:00 - 08:00:00","45520.2500000000","1 540 #","1539.8816","20 ms","20.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 08:00:00 - 09:00:00","45520.2916666667","1 362 #","1361.9667","8,08 ms","8.0833","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 09:00:00 - 10:00:00","45520.3333333333","652 #","651.7863","5 ms","5.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 10:00:00 - 11:00:00","45520.3750000000","1 360 #","1359.8854","558 ms","558.0833","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 11:00:00 - 12:00:00","45520.4166666667","941 #","940.7911","6,92 ms","6.9167","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 12:00:00 - 13:00:00","45520.4583333333","2 296 #","2296.0053","1,42 ms","1.4167","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 13:00:00 - 14:00:00","45520.5000000000","3 545 #","3545.2746","2,67 ms","2.6667","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 14:00:00 - 15:00:00","45520.5416666667","1 516 #","1516.1271","2,67 ms","2.6667","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 15:00:00 - 16:00:00","45520.5833333333","1 176 #","1175.5704","13 ms","12.8333","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 16:00:00 - 17:00:00","45520.6250000000","1 651 #","1650.8453","12 ms","11.6667","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 17:00:00 - 18:00:00","45520.6666666667","296 #","295.9293","3,92 ms","3.9167","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 18:00:00 - 19:00:00","45520.7083333333","54 #","54.2829","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 19:00:00 - 20:00:00","45520.7500000000","54 #","53.6312","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 20:00:00 - 21:00:00","45520.7916666667","64 #","64.1551","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 21:00:00 - 22:00:00","45520.8333333333","86 #","86.1078","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 22:00:00 - 23:00:00","45520.8750000000","119 #","119.2959","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 23:00:00 - 00:00:00","45520.9166666667","1 206 #","1205.9380","2,58 ms","2.5833","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 00:00:00 - 01:00:00","45520.9583333333","5 319 #","5319.2988","96 805 ms","96805.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 01:00:00 - 02:00:00","45521.0000000000","3 487 #","3487.1126","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 02:00:00 - 03:00:00","45521.0416666667","521 #","521.0415","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 03:00:00 - 04:00:00","45521.0833333333","56 #","55.9321","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 04:00:00 - 05:00:00","45521.1250000000","680 #","679.6421","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 05:00:00 - 06:00:00","45521.1666666667","374 #","373.5798","7,75 ms","7.7500","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 06:00:00 - 07:00:00","45521.2083333333","123 #","122.8119","1,58 ms","1.5833","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 07:00:00 - 08:00:00","45521.2500000000","358 #","357.7879","1,33 ms","1.3333","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 08:00:00 - 09:00:00","45521.2916666667","68 #","68.1082","2 ms","2.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 09:00:00 - 10:00:00","45521.3333333333","529 #","529.2375","13 ms","13.4167","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 10:00:00 - 11:00:00","45521.3750000000","531 #","531.2011","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 11:00:00 - 12:00:00","45521.4166666667","688 #","688.1694","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 12:00:00 - 13:00:00","45521.4583333333","995 #","995.1585","9,58 ms","9.5833","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 13:00:00 - 14:00:00","45521.5000000000","968 #","967.9137","4,67 ms","4.6667","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 14:00:00 - 15:00:00","45521.5416666667","332 #","331.8639","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 15:00:00 - 16:00:00","45521.5833333333","316 #","316.2582","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 16:00:00 - 17:00:00","45521.6250000000","305 #","305.3191","2,58 ms","2.5833","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 17:00:00 - 18:00:00","45521.6666666667","194 #","194.2852","1,33 ms","1.3333","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 18:00:00 - 19:00:00","45521.7083333333","353 #","353.3221","3,92 ms","3.9167","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 19:00:00 - 20:00:00","45521.7500000000","53 #","53.4794","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 20:00:00 - 21:00:00","45521.7916666667","64 #","64.2593","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 21:00:00 - 22:00:00","45521.8333333333","86 #","86.4406","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 22:00:00 - 23:00:00","45521.8750000000","119 #","118.5254","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 23:00:00 - 00:00:00","45521.9166666667","1 316 #","1316.3012","19 ms","19.2500","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 00:00:00 - 01:00:00","45521.9583333333","4 181 #","4181.3017","155 679 ms","155678.5833","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 01:00:00 - 02:00:00","45522.0000000000","1 805 #","1805.0340","2 ms","2.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 02:00:00 - 03:00:00","45522.0416666667","829 #","828.6052","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 03:00:00 - 04:00:00","45522.0833333333","58 #","58.4833","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 04:00:00 - 05:00:00","45522.1250000000","323 #","323.4464","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 05:00:00 - 06:00:00","45522.1666666667","54 #","54.0701","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 06:00:00 - 07:00:00","45522.2083333333","119 #","119.2978","3,92 ms","3.9167","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 07:00:00 - 08:00:00","45522.2500000000","59 #","59.1787","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 08:00:00 - 09:00:00","45522.2916666667","54 #","54.1963","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 09:00:00 - 10:00:00","45522.3333333333","105 #","105.2669","2,83 ms","2.8333","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 10:00:00 - 11:00:00","45522.3750000000","187 #","186.9243","2,33 ms","2.3333","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 11:00:00 - 12:00:00","45522.4166666667","120 #","119.8757","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 12:00:00 - 13:00:00","45522.4583333333","77 #","76.6125","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 13:00:00 - 14:00:00","45522.5000000000","89 #","88.5740","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 14:00:00 - 15:00:00","45522.5416666667","55 #","54.7110","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 15:00:00 - 16:00:00","45522.5833333333","54 #","54.3676","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 16:00:00 - 17:00:00","45522.6250000000","55 #","54.7404","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 17:00:00 - 18:00:00","45522.6666666667","177 #","176.8940","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 18:00:00 - 19:00:00","45522.7083333333","231 #","230.9414","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 19:00:00 - 20:00:00","45522.7500000000","231 #","231.3231","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 20:00:00 - 21:00:00","45522.7916666667","231 #","231.3625","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 21:00:00 - 22:00:00","45522.8333333333","229 #","229.4829","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 22:00:00 - 23:00:00","45522.8750000000","230 #","230.4640","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 23:00:00 - 00:00:00","45522.9166666667","1 194 #","1193.6571","3,92 ms","3.9167","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 00:00:00 - 01:00:00","45522.9583333333","3 447 #","3446.6761","59 015 ms","59015.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 01:00:00 - 02:00:00","45523.0000000000","2 409 #","2408.9949","1,25 ms","1.2500","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 02:00:00 - 03:00:00","45523.0416666667","1 104 #","1103.6488","3,92 ms","3.9167","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 03:00:00 - 04:00:00","45523.0833333333","55 #","55.1592","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 04:00:00 - 05:00:00","45523.1250000000","322 #","321.8840","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 05:00:00 - 06:00:00","45523.1666666667","1 262 #","1261.8176","2,58 ms","2.5833","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 06:00:00 - 07:00:00","45523.2083333333","1 123 #","1123.1465","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 07:00:00 - 08:00:00","45523.2500000000","1 522 #","1521.6636","12 ms","11.7500","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 08:00:00 - 09:00:00","45523.2916666667","850 #","850.2597","9 ms","9.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 09:00:00 - 10:00:00","45523.3333333333","425 #","424.9670","5,25 ms","5.2500","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 10:00:00 - 11:00:00","45523.3750000000","2 537 #","2537.4521","8 ms","8.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 11:00:00 - 12:00:00","45523.4166666667","2 130 #","2130.2889","12 ms","11.6667","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 12:00:00 - 13:00:00","45523.4583333333","902 #","902.2001","2,58 ms","2.5833","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 13:00:00 - 14:00:00","45523.5000000000","1 441 #","1440.7984","2 ms","2.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 14:00:00 - 15:00:00","45523.5416666667","1 038 #","1037.7905","1,33 ms","1.3333","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 15:00:00 - 16:00:00","45523.5833333333","1 586 #","1586.0722","15 ms","15.3333","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 16:00:00 - 17:00:00","45523.6250000000","983 #","983.1404","9,08 ms","9.0833","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 17:00:00 - 18:00:00","45523.6666666667","491 #","490.6651","1,83 ms","1.8333","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 18:00:00 - 19:00:00","45523.7083333333","82 #","82.2151","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 19:00:00 - 20:00:00","45523.7500000000","92 #","91.5093","2,58 ms","2.5833","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 20:00:00 - 21:00:00","45523.7916666667","162 #","162.4254","2,17 ms","2.1667","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 21:00:00 - 22:00:00","45523.8333333333","252 #","252.2726","5,25 ms","5.2500","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 22:00:00 - 23:00:00","45523.8750000000","121 #","120.7692","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 23:00:00 - 00:00:00","45523.9166666667","1 145 #","1145.3270","1,33 ms","1.3333","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 00:00:00 - 01:00:00","45523.9583333333","3 435 #","3435.2071","100 592 ms","100592.1667","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 01:00:00 - 02:00:00","45524.0000000000","5 005 #","5005.2403","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 02:00:00 - 03:00:00","45524.0416666667","1 109 #","1109.3724","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 03:00:00 - 04:00:00","45524.0833333333","57 #","56.7371","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 04:00:00 - 05:00:00","45524.1250000000","414 #","413.5236","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 05:00:00 - 06:00:00","45524.1666666667","1 151 #","1150.7735","21 ms","21.2500","0 #","0.0000","0 %","0.0000","100 %","0000010000"
