"Date et heure","Date et heure(RAW)","Total","Total(RAW)","Temps mort","Temps mort(RAW)","Couverture","Couverture(RAW)"
"14/08/2024 19:00:00 - 20:00:00","45518.7500000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 20:00:00 - 21:00:00","45518.7916666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 21:00:00 - 22:00:00","45518.8333333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 22:00:00 - 23:00:00","45518.8750000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 23:00:00 - 00:00:00","45518.9166666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 00:00:00 - 01:00:00","45518.9583333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 01:00:00 - 02:00:00","45519.0000000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 02:00:00 - 03:00:00","45519.0416666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 03:00:00 - 04:00:00","45519.0833333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 04:00:00 - 05:00:00","45519.1250000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 05:00:00 - 06:00:00","45519.1666666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 06:00:00 - 07:00:00","45519.2083333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 07:00:00 - 08:00:00","45519.2500000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 08:00:00 - 09:00:00","45519.2916666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 09:00:00 - 10:00:00","45519.3333333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 10:00:00 - 11:00:00","45519.3750000000","2 %","2.5000","0 %","0.0000","100 %","0000010000"
"15/08/2024 11:00:00 - 12:00:00","45519.4166666667","2 %","2.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 12:00:00 - 13:00:00","45519.4583333333","3 %","3.1667","0 %","0.0000","100 %","0000010000"
"15/08/2024 13:00:00 - 14:00:00","45519.5000000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 14:00:00 - 15:00:00","45519.5416666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 15:00:00 - 16:00:00","45519.5833333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 16:00:00 - 17:00:00","45519.6250000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 17:00:00 - 18:00:00","45519.6666666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 18:00:00 - 19:00:00","45519.7083333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 19:00:00 - 20:00:00","45519.7500000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 20:00:00 - 21:00:00","45519.7916666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 21:00:00 - 22:00:00","45519.8333333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 22:00:00 - 23:00:00","45519.8750000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 23:00:00 - 00:00:00","45519.9166666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 00:00:00 - 01:00:00","45519.9583333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 01:00:00 - 02:00:00","45520.0000000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 02:00:00 - 03:00:00","45520.0416666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 03:00:00 - 04:00:00","45520.0833333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 04:00:00 - 05:00:00","45520.1250000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 05:00:00 - 06:00:00","45520.1666666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 06:00:00 - 07:00:00","45520.2083333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 07:00:00 - 08:00:00","45520.2500000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 08:00:00 - 09:00:00","45520.2916666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 09:00:00 - 10:00:00","45520.3333333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 10:00:00 - 11:00:00","45520.3750000000","2 %","2.5000","0 %","0.0000","100 %","0000010000"
"16/08/2024 11:00:00 - 12:00:00","45520.4166666667","2 %","2.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 12:00:00 - 13:00:00","45520.4583333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 13:00:00 - 14:00:00","45520.5000000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 14:00:00 - 15:00:00","45520.5416666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 15:00:00 - 16:00:00","45520.5833333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 16:00:00 - 17:00:00","45520.6250000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 17:00:00 - 18:00:00","45520.6666666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 18:00:00 - 19:00:00","45520.7083333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 19:00:00 - 20:00:00","45520.7500000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 20:00:00 - 21:00:00","45520.7916666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 21:00:00 - 22:00:00","45520.8333333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 22:00:00 - 23:00:00","45520.8750000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 23:00:00 - 00:00:00","45520.9166666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 00:00:00 - 01:00:00","45520.9583333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 01:00:00 - 02:00:00","45521.0000000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 02:00:00 - 03:00:00","45521.0416666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 03:00:00 - 04:00:00","45521.0833333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 04:00:00 - 05:00:00","45521.1250000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 05:00:00 - 06:00:00","45521.1666666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 06:00:00 - 07:00:00","45521.2083333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 07:00:00 - 08:00:00","45521.2500000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 08:00:00 - 09:00:00","45521.2916666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 09:00:00 - 10:00:00","45521.3333333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 10:00:00 - 11:00:00","45521.3750000000","2 %","2.5000","0 %","0.0000","100 %","0000010000"
"17/08/2024 11:00:00 - 12:00:00","45521.4166666667","2 %","2.1667","0 %","0.0000","100 %","0000010000"
"17/08/2024 12:00:00 - 13:00:00","45521.4583333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 13:00:00 - 14:00:00","45521.5000000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 14:00:00 - 15:00:00","45521.5416666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 15:00:00 - 16:00:00","45521.5833333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 16:00:00 - 17:00:00","45521.6250000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 17:00:00 - 18:00:00","45521.6666666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 18:00:00 - 19:00:00","45521.7083333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 19:00:00 - 20:00:00","45521.7500000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 20:00:00 - 21:00:00","45521.7916666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 21:00:00 - 22:00:00","45521.8333333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 22:00:00 - 23:00:00","45521.8750000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 23:00:00 - 00:00:00","45521.9166666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 00:00:00 - 01:00:00","45521.9583333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 01:00:00 - 02:00:00","45522.0000000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 02:00:00 - 03:00:00","45522.0416666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 03:00:00 - 04:00:00","45522.0833333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 04:00:00 - 05:00:00","45522.1250000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 05:00:00 - 06:00:00","45522.1666666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 06:00:00 - 07:00:00","45522.2083333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 07:00:00 - 08:00:00","45522.2500000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 08:00:00 - 09:00:00","45522.2916666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 09:00:00 - 10:00:00","45522.3333333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 10:00:00 - 11:00:00","45522.3750000000","2 %","2.5000","0 %","0.0000","100 %","0000010000"
"18/08/2024 11:00:00 - 12:00:00","45522.4166666667","2 %","2.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 12:00:00 - 13:00:00","45522.4583333333","2 %","2.3333","0 %","0.0000","100 %","0000010000"
"18/08/2024 13:00:00 - 14:00:00","45522.5000000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 14:00:00 - 15:00:00","45522.5416666667","2 %","2.5000","0 %","0.0000","100 %","0000010000"
"18/08/2024 15:00:00 - 16:00:00","45522.5833333333","2 %","2.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 16:00:00 - 17:00:00","45522.6250000000","2 %","2.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 17:00:00 - 18:00:00","45522.6666666667","2 %","2.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 18:00:00 - 19:00:00","45522.7083333333","2 %","2.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 19:00:00 - 20:00:00","45522.7500000000","2 %","2.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 20:00:00 - 21:00:00","45522.7916666667","2 %","2.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 21:00:00 - 22:00:00","45522.8333333333","2 %","2.3333","0 %","0.0000","100 %","0000010000"
"18/08/2024 22:00:00 - 23:00:00","45522.8750000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 23:00:00 - 00:00:00","45522.9166666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 00:00:00 - 01:00:00","45522.9583333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 01:00:00 - 02:00:00","45523.0000000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 02:00:00 - 03:00:00","45523.0416666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 03:00:00 - 04:00:00","45523.0833333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 04:00:00 - 05:00:00","45523.1250000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 05:00:00 - 06:00:00","45523.1666666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 06:00:00 - 07:00:00","45523.2083333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 07:00:00 - 08:00:00","45523.2500000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 08:00:00 - 09:00:00","45523.2916666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 09:00:00 - 10:00:00","45523.3333333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 10:00:00 - 11:00:00","45523.3750000000","2 %","2.5000","0 %","0.0000","100 %","0000010000"
"19/08/2024 11:00:00 - 12:00:00","45523.4166666667","2 %","2.1667","0 %","0.0000","100 %","0000010000"
"19/08/2024 12:00:00 - 13:00:00","45523.4583333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 13:00:00 - 14:00:00","45523.5000000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 14:00:00 - 15:00:00","45523.5416666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 15:00:00 - 16:00:00","45523.5833333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 16:00:00 - 17:00:00","45523.6250000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 17:00:00 - 18:00:00","45523.6666666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 18:00:00 - 19:00:00","45523.7083333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 19:00:00 - 20:00:00","45523.7500000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 20:00:00 - 21:00:00","45523.7916666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 21:00:00 - 22:00:00","45523.8333333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 22:00:00 - 23:00:00","45523.8750000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 23:00:00 - 00:00:00","45523.9166666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 00:00:00 - 01:00:00","45523.9583333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 01:00:00 - 02:00:00","45524.0000000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 02:00:00 - 03:00:00","45524.0416666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 03:00:00 - 04:00:00","45524.0833333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 04:00:00 - 05:00:00","45524.1250000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 05:00:00 - 06:00:00","45524.1666666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 06:00:00 - 07:00:00","45524.2083333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 07:00:00 - 08:00:00","45524.2500000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 08:00:00 - 09:00:00","45524.2916666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 09:00:00 - 10:00:00","45524.3333333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 10:00:00 - 11:00:00","45524.3750000000","2 %","2.5000","0 %","0.0000","100 %","0000010000"
"20/08/2024 11:00:00 - 12:00:00","45524.4166666667","2 %","2.1667","0 %","0.0000","100 %","0000010000"
"20/08/2024 12:00:00 - 13:00:00","45524.4583333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 13:00:00 - 14:00:00","45524.5000000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 14:00:00 - 15:00:00","45524.5416666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 15:00:00 - 16:00:00","45524.5833333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 16:00:00 - 17:00:00","45524.6250000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 17:00:00 - 18:00:00","45524.6666666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 18:00:00 - 19:00:00","45524.7083333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 19:00:00 - 20:00:00","45524.7500000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 20:00:00 - 21:00:00","45524.7916666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 21:00:00 - 22:00:00","45524.8333333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 22:00:00 - 23:00:00","45524.8750000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 23:00:00 - 00:00:00","45524.9166666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"21/08/2024 00:00:00 - 01:00:00","45524.9583333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"21/08/2024 01:00:00 - 02:00:00","45525.0000000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"21/08/2024 02:00:00 - 03:00:00","45525.0416666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"21/08/2024 03:00:00 - 04:00:00","45525.0833333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"21/08/2024 04:00:00 - 05:00:00","45525.1250000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"21/08/2024 05:00:00 - 06:00:00","45525.1666666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"21/08/2024 06:00:00 - 07:00:00","45525.2083333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"21/08/2024 07:00:00 - 08:00:00","45525.2500000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"21/08/2024 08:00:00 - 09:00:00","45525.2916666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"21/08/2024 09:00:00 - 10:00:00","45525.3333333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"21/08/2024 10:00:00 - 11:00:00","45525.3750000000","2 %","2.5000","0 %","0.0000","100 %","0000010000"
"21/08/2024 11:00:00 - 12:00:00","45525.4166666667","2 %","2.1667","0 %","0.0000","100 %","0000010000"
"21/08/2024 12:00:00 - 13:00:00","45525.4583333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"21/08/2024 13:00:00 - 14:00:00","45525.5000000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"21/08/2024 14:00:00 - 15:00:00","45525.5416666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"21/08/2024 15:00:00 - 16:00:00","45525.5833333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"21/08/2024 16:00:00 - 17:00:00","45525.6250000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"21/08/2024 17:00:00 - 18:00:00","45525.6666666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"21/08/2024 18:00:00 - 19:00:00","45525.7083333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"21/08/2024 19:00:00 - 20:00:00","45525.7500000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"21/08/2024 20:00:00 - 21:00:00","45525.7916666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"21/08/2024 21:00:00 - 22:00:00","45525.8333333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"21/08/2024 22:00:00 - 23:00:00","45525.8750000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"21/08/2024 23:00:00 - 00:00:00","45525.9166666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"22/08/2024 00:00:00 - 01:00:00","45525.9583333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"22/08/2024 01:00:00 - 02:00:00","45526.0000000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"22/08/2024 02:00:00 - 03:00:00","45526.0416666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"22/08/2024 03:00:00 - 04:00:00","45526.0833333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"22/08/2024 04:00:00 - 05:00:00","45526.1250000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"22/08/2024 05:00:00 - 06:00:00","45526.1666666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"22/08/2024 06:00:00 - 07:00:00","45526.2083333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"22/08/2024 07:00:00 - 08:00:00","45526.2500000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"22/08/2024 08:00:00 - 09:00:00","45526.2916666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"22/08/2024 09:00:00 - 10:00:00","45526.3333333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"22/08/2024 10:00:00 - 11:00:00","45526.3750000000","2 %","2.5000","0 %","0.0000","100 %","0000010000"
"22/08/2024 11:00:00 - 12:00:00","45526.4166666667","2 %","2.3333","0 %","0.0000","100 %","0000010000"
"22/08/2024 12:00:00 - 13:00:00","45526.4583333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"22/08/2024 13:00:00 - 14:00:00","45526.5000000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"22/08/2024 14:00:00 - 15:00:00","45526.5416666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"22/08/2024 15:00:00 - 16:00:00","45526.5833333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"22/08/2024 16:00:00 - 17:00:00","45526.6250000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"22/08/2024 17:00:00 - 18:00:00","45526.6666666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"22/08/2024 18:00:00 - 19:00:00","45526.7083333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"22/08/2024 19:00:00 - 20:00:00","45526.7500000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"22/08/2024 20:00:00 - 21:00:00","45526.7916666667","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"22/08/2024 21:00:00 - 22:00:00","45526.8333333333","3 %","3.0000","0 %","0.0000","100 %","0000010000"
"22/08/2024 22:00:00 - 23:00:00","45526.8750000000","3 %","3.0000","0 %","0.0000","100 %","0000010000"
